RA(deg),Dec(deg),VTMag,Altitude (deg),Azimuth (deg)
0.48454484,12.65495324,8.9,11.159866491324935,79.29249963717466
0.4845824,-41.61373674,7.78,-1.651791108222108,132.33567027718607
0.48996506,-6.01397169,4.37,7.3150812597590615,97.80637775924862
0.49113894,46.26916275,9.93,14.944858221093838,44.972455973981894
0.496885,63.3578458,8.6,14.939119708641643,27.28091831608286
0.50032768,-5.21399723,8.51,7.487845881786746,97.01868566369907
0.50047134,-37.90179046,7.09,-0.699049417548702,128.74746749530402
0.51081115,-2.76616306,6.93,8.028179606776309,94.60925134240841
0.5117152,-69.26920741,8.68,-8.392665059538562,159.27682874541642
0.51248009,33.69599071,8.98,14.064580126624952,57.929498703482075
0.51336753,27.11861943,9.84,13.334874537567602,64.65783963059395
0.51714313,-30.68523468,8.98,1.1661528259119407,121.77614148034138
0.51857812,59.94001211,7.98,15.038347376776901,30.817740547854047
0.51974463,-22.32747055,10.16,3.315415942165634,113.69323883520117
0.52152674,-56.51490157,8.86,-5.441513814458245,146.77652971015183
0.52780714,39.1832136,8.58,14.518085512093322,52.28630484076755
0.53352192,-2.81984528,9.56,7.994138305077813,94.65701695580435
0.53502093,-68.28020594,9.24,-8.184275112524942,158.29983758197767
0.5376772,-20.87164212,9.63,3.6684214843166907,112.27820513949423
0.54018776,27.08448905,5.8,13.30693033096231,64.68958000406968
0.54288062,67.40895644,9.05,14.720751651026307,23.09612976706332
0.54959887,47.57722222,8.45,14.953655631216595,43.617973818607254
0.55156687,59.96533825,8.86,15.021233662186622,30.791929746515883
0.55243583,49.77113897,7.84,15.016411306680407,41.3477406427743
0.55333411,44.42827722,8.86,14.819178496259848,46.87332844482783
0.56020401,-11.96434717,8.93,5.848408298644016,103.61175985596371
0.5677962,-27.13517299,7.97,2.041827363757149,118.33429905993893
0.56886229,-13.40751554,6.9,5.491465773374281,105.01692223949736
0.57090231,-9.17489501,8.47,6.502154466264414,100.8842647571247
0.57381667,60.7031946,6.77,14.99173083474148,30.0285382303012
0.58116809,52.58643746,8.55,15.048949897243581,38.43278919018164
0.58297574,-29.72044805,5.04,1.3612991659424007,120.82940725853662
0.58977565,11.00634091,8.48,10.76012302090194,80.9249538209289
0.5901502,10.78564387,8.53,10.719105964557308,81.14566473780026
0.60069792,8.9568336,6.33,10.366066901335987,82.9708599918341
0.60211418,-6.05918213,8.99,7.19616387598882,97.82495729114093
0.60250452,6.33313676,8.64,9.854564433743315,85.58472637538888
0.60528721,54.13515756,9.55,15.047082212046238,36.82899619949755
0.60555642,10.77665206,8.74,10.7025723955149,81.1518150478145
0.61228711,-46.02884131,12.43,-2.8763660356314675,136.58169945245234
0.61983117,8.39393024,8.16,10.23987398000413,83.52873765180306
0.62164007,-39.21249918,9.46,-1.1306933369906695,129.98876960584332
0.62398938,8.48557854,5.7,10.253428739755103,83.43653667248246
0.62573691,47.42295978,7.62,14.896789237171536,43.77563776170739
0.62700447,51.82997958,8.95,15.010546284121613,39.215574825511176
0.63232895,42.14779896,8.97,14.636617658745328,49.22446382392895
0.63269567,15.33519012,8.94,11.484428846416362,76.57529505713295
0.6350323,16.25655097,7.24,11.637025657908836,75.64786723902692
0.63546326,-33.99267216,10.32,0.2112163443421152,124.9443805460933
0.639314,18.68336438,8.24,12.026498094227174,73.20056584815205
0.64173419,54.55216087,8.62,15.02746481538078,36.39712210193711
0.64222918,-15.83126945,9.18,4.8301107203557585,107.35916948564389
0.64508403,-43.94791349,8.53,-2.3670994680732353,134.5619119993137
0.64571113,-5.18664439,8.54,7.353084240130842,96.95861505377903
0.64683993,18.83599601,8.56,12.043509040536485,73.04530940223036
0.64992943,-67.63428107,9.41,-8.084294265932895,157.65377403716244
0.65034249,66.09896341,5.87,14.749483183140208,24.451079774786393
0.6601596,66.10037725,7.2,14.745439636240643,24.449826572099226
0.66214867,-8.48794379,9.05,6.575733763361464,100.19086052934202
0.66317884,-37.94768074,9.52,-0.8349002279631506,128.75848422560392
0.6634419,-29.07525103,10.24,1.4602312884976913,120.18783790304143
0.66686344,51.47241278,7.7,14.979800419634657,39.58526467868293
0.66917246,28.54222144,8.17,13.37210323560865,63.188366373739505
